,git,Git will be used to clone dotfiles
,zsh,My primary shell
,neovim,A more modern version of vim
,python-neovim,Pyhton 3 integration for neovim - used in plugins
,termite,Terminal emulator program
A,ttf-google-sans,Google's signature font family
,acpi,ACPI is used for getting system information
,dmenu,Menu for running programs and executing scripts
,libnotify,For those glorious desktop notifications
,dunst,Notification daemon
,i3-gaps,Window manager
,polybar,A better bar for i3
,fasd,Quickly jump around in the command line
,alsa-utils,ALSA utilities such as amixer
,google-chrome,My primary browser
,fd,A nicer alternative to the find command
,go,The go programming language
,htop,A better top
,noto-fonts-emoji,Beautiful color emoji
,openssh,SSH client and daemon
,openvpn,VPN client and daemon
,pavucontrol,Pulse Audio Volume Control GUI
,pulseaudio-alsa,ALSA tools for pulseaudio
,pulsemixer,Pulseaudio mixer CLI tool,
,the_silver_searcher,The ag tool, basically a better ack
A,un-apple-keyboard,Remapping for apple keyboards
,tmux,Terminal multiplexer
,ttf-dejavu,Dejavu fonts
,ttf-inconsolata,Inconsolata monospace font
,xorg-server,The X11 server
,xorg-xinit,startx command
,yubico-pam,PAM module for Yubikeys
,zathura,Minimalist document reader
,zathura-pdf-mupdf,PDF backend for zathura
,nextcloud-client,Official Nextcloud client application for syncing
A,slack-desktop,Slack messenger client
,xsel,CLI utility for managing the clipboard (also needed by neovim)
,xclip,CLI utility for managing the clipboard
,ranger,CLI file manager with VIM-like keybindings
,poppler,A document conversion and scraping tool
,xorg-xrandr,For getting monitor info and DPI scaling
,rofi,A dmenu replacement
,firefox,The web browser
A,i3lock-color,A fancy i3lock replacement
,w3m,Browser used for image previews in ranger
,imagemagick,Image editing tool; used for lockscreen
,feh,Image viewer; used for setting wallpaper
,nodejs,NodeJS runtime
,npm,NodeJS package manager
,compton,Compositor used for tear-free rendering and transparency
,bc,A command line calculator utility
,fzf,Fuzzy finder
A,protonvpn-cli,A CLI for ProtonVPN
A,ttf-material-design-icons,Material icon font
,unclutter,Hides the mouse cursort when you don't need it
A,xgetres,Get values from Xresources
